rank,feature,score,p_value
1,290.113425,400.90273173391404,5.376990093224885e-278
2,193.067511303711,350.451616273244,1.2165761597245232e-248
3,289.395193798828,274.96145818552367,3.7465393003792593e-202
4,134.445532543945,260.7395625522222,5.083927573904802e-193
5,192.990668041992,255.1259347913897,2.2162800464741853e-189
6,272.0899875,222.72758421290982,5.57431953601234e-168
7,192.52146027832,215.6705660878541,3.1611033458759426e-163
8,113.088675244141,210.29223247188233,1.397974076627344e-159
9,112.855726940918,204.92724523829543,6.338349230577546e-156
10,290.60903046875,203.653249854777,4.7119235237252434e-155
11,113.023337109375,203.53892513193227,5.6420196245732854e-155
12,113.363295300293,193.89731727033202,2.4130699516889687e-148
13,143.030997021484,192.98263806022788,1.0353044884516697e-147
14,142.766562207031,189.3412176286073,3.459590981268699e-145
15,271.553030712891,185.7348933224028,1.116962753343456e-142
16,270.797476513672,185.20426636797535,2.6181936479270255e-142
17,193.885184033203,169.61373865125555,2.3981225331793357e-131
18,288.399496777344,163.78106669287095,3.3667676421571526e-127
19,255.537558300781,163.72250064922667,3.706691513660374e-127
20,143.106940014648,163.64332338632087,4.221484383571034e-127
21,193.993582470703,158.85757883570855,1.1169871688143666e-123
22,194.093435986328,155.93753724949087,1.3960885567349283e-121
23,288.121298535156,144.72656357198372,1.804948342837e-113
24,123.262167675781,142.61170162233927,6.274984993274586e-112
25,134.16779206543,139.88940431618386,6.117716012591293e-110
26,133.807409985352,139.45055590667107,1.2816510956232387e-109
27,112.575201733398,137.48536387677606,3.531072485497258e-108
28,142.624640209961,135.21374985084094,1.6459467730381412e-106
29,271.114432080078,134.82005953318497,3.206272539597265e-106
30,193.677038891602,130.85391123650834,2.6932005329143373e-103
31,289.10951875,129.98074831039568,1.190561115160259e-102
32,291.440664990234,129.5873735165883,2.3267684898094334e-102
33,133.279562695313,126.76728757123011,2.8614303299019507e-100
34,291.112051708984,125.64153401120845,1.96164574310042e-99
35,112.677366955566,120.46044883266069,1.4243549968320484e-95
36,192.067007763672,119.3347620661276,9.894404033642785e-95
