rank,feature,score,p_value
1,290.113425,590.6158570132945,1.175489159732996e-217
2,193.067511303711,542.344764035728,2.360006665271612e-202
3,134.445532543945,439.66454211157037,1.396270283216183e-168
4,289.395193798828,423.01692341848974,6.106015294260985e-163
5,113.088675244141,420.40925438442815,4.717125147198389e-162
6,112.855726940918,409.6013041665051,2.325480537477076e-158
7,192.990668041992,407.47682012705644,1.2439980934561046e-157
8,113.023337109375,406.66420928681373,2.363778249366324e-157
9,113.363295300293,387.8326730275507,7.365622635225303e-151
10,143.030997021484,379.10725762829225,7.8994066222133e-148
11,142.766562207031,375.3445416883314,1.616891215445527e-146
12,192.52146027832,374.2863931968422,3.783117677794877e-146
13,272.0899875,348.4840783486733,4.4039484782643085e-137
14,270.797476513672,329.18116660918446,3.2206227018517377e-130
15,271.553030712891,318.9490825676641,1.4976183743653648e-126
16,143.106940014648,318.48243064333144,2.203664024153122e-126
17,193.885184033203,308.17698198928434,1.1439402740447497e-122
18,193.993582470703,289.2525994290773,8.618776478612048e-116
19,194.093435986328,283.9167507852522,7.716058363670712e-114
20,255.537558300781,278.69668759968226,6.346732701228702e-112
21,112.575201733398,272.42770962881434,1.287800523981268e-109
22,288.399496777344,262.2522645498881,7.448211823100463e-106
23,142.624640209961,253.69956319364735,1.1241449011835915e-102
24,133.279562695313,245.64188417695001,1.1470323067322019e-99
25,112.677366955566,240.8783716347969,6.99367393426535e-98
26,271.114432080078,236.546952134385,2.9653691271258627e-96
27,193.677038891602,235.47301386188505,7.51950028283037e-96
28,288.121298535156,234.4469097627611,1.830329769024104e-95
29,283.260611279297,230.40510353733356,6.116523969398527e-94
30,192.067007763672,226.6308834219705,1.63209919033548e-92
31,113.594580395508,222.05976141608903,8.795014808859238e-91
32,134.16779206543,221.7078052525491,1.1960264475323452e-90
33,123.262167675781,220.44027739525265,3.6204485768309348e-90
34,133.807409985352,215.3366251128764,3.1557790516202244e-88
35,289.10951875,211.97967640107123,6.004408248944714e-87
36,282.68520234375,210.26297209769646,2.7144031957370787e-86
37,255.233145458984,207.03725539502838,4.6404836796118977e-85
38,291.440664990234,205.4161292853238,1.9365641854570053e-84
39,291.112051708984,204.62913232325366,3.8766397770637066e-84
40,166.873373730469,202.28930428970907,3.0579370403391148e-83
41,185.060965283203,194.4634476303582,3.1209937508125872e-80
42,191.576224072266,189.75809144866764,2.0416060020357699e-78
43,560.249228222656,187.47243785779594,1.5622148893918675e-77
44,283.533011181641,169.47207687025306,1.5671299784164027e-70
45,184.070334179688,165.2002390355385,7.37133456463987e-69
46,127.880064709473,161.6770546802646,1.7785209307667215e-67
47,123.057577832031,153.55307575571453,2.811530553110259e-64
48,241.098440869141,152.04706032228893,1.1057157132484082e-63
49,185.39826081543,148.368082775443,3.1524760575017053e-62
50,137.305823071289,147.31829364938375,8.211456053148879e-62
51,136.797476513672,146.0800796931609,2.5418416611603755e-61
52,167.058645947266,143.58738611822127,2.4782856105320165e-60
53,136.900503857422,142.94664136986196,4.4525780612919266e-60
54,137.178641064453,142.90110401047144,4.6419406949053507e-60
55,290.60903046875,140.09091754881402,6.0798981577165e-59
56,137.041937573242,136.96895886730454,1.0647408757379532e-57
57,141.367636425781,133.88956118346047,1.802698805645038e-56
58,319.122580273438,130.56035502302134,3.8622037253880276e-55
59,287.103506787109,127.65534035572361,5.627937284042022e-54
60,283.122732861328,127.37345765420042,7.300575845216598e-54
61,140.674414379883,124.8849657741116,7.2750716394831615e-53
62,127.72955201416,123.43471029583979,2.782458666362426e-52
63,287.544455273438,123.09174878976295,3.821876565454662e-52
64,742.304159863281,121.61963992724843,1.4937993719821344e-51
65,122.814573986816,121.4812066730351,1.6982084283254938e-51
66,270.420126660156,120.8671706775131,2.9998882686483006e-51
67,128.151221020508,120.08765787193467,6.179401334767622e-51
68,150.456778271484,118.91487492324661,1.8340126595746633e-50
69,270.103598339844,118.5459063237493,2.5829195434783517e-50
70,266.801321728516,116.68608087045689,1.4527767925997678e-49
71,264.101553662109,113.89642400820637,1.9448541231142553e-48
72,143.560614331055,112.81357054462904,5.330222900969101e-48
73,417.629965527344,111.57223167767123,1.6945064603509025e-47
74,166.489920361328,111.17045229729456,2.464344189539299e-47
75,241.620306713867,109.28385494633329,1.4322284806964497e-46
76,238.083349926758,108.36969899816992,3.3626178830705305e-46
77,184.893805249023,107.61658970041037,6.795134173570514e-46
78,267.320151074219,107.43619366781223,8.042697573042802e-46
79,359.133078320313,107.37920097634678,8.482634011290371e-46
80,166.307608349609,107.27889035407664,9.316249749861292e-46
81,152.051352246094,107.06101911706278,1.1420136362237458e-45
82,390.156973583984,104.8059547677237,9.411404133455187e-45
83,269.787253125,104.65502313303655,1.083942699140394e-44
84,141.019613964844,104.56806610235162,1.1758607298040359e-44
85,276.111777050781,104.25775252296204,1.5722410634509944e-44
86,242.681708081055,101.77127828786944,1.6154843041405646e-43
87,388.160910351563,99.61626234680254,1.2202763216733704e-42
88,267.115927441406,99.51248792615799,1.3451629340312746e-42
89,128.0353,98.63462970580694,3.0679770684759934e-42
90,284.281943066406,98.3830796080562,3.885926843630353e-42
91,117.20970032959,98.08918819665408,5.1219361031577274e-42
92,284.116171582031,96.80095602199842,1.719601708829745e-41
93,191.363653881836,96.40841136657149,2.487649530076369e-41
94,116.024107678223,94.86161264950493,1.0667438209300278e-40
95,560.593527539063,94.20575128779977,1.9784828077803403e-40
96,254.10871003418,92.71437322937179,8.067994950527178e-40
97,559.628805859375,92.56455387033506,9.292207627409476e-40
98,452.188376171875,92.41651103979228,1.0684402468523985e-39
99,243.119040234375,91.49829974943688,2.540561125262534e-39
100,151.834204418945,91.11903577361066,3.6338866294377875e-39
101,243.074331982422,90.98591725837737,4.1203940330260685e-39
102,116.556433422852,90.97587085693203,4.1596530609009784e-39
103,117.019064648438,90.68593188199564,5.4692011764414327e-39
104,141.065817578125,88.71679541634849,3.5137993278808156e-38
105,171.713034375,87.09417646996944,1.630072902297505e-37
106,312.139548046875,85.48950403099347,7.446013438806053e-37
107,209.085440380859,85.17769815605101,1.0004380089683571e-36
108,279.241629345703,84.97422431040717,1.2131256069004495e-36
109,220.069006665039,84.59145593693432,1.7434816299722033e-36
110,417.169668896484,83.82599053541637,3.601829872215934e-36
111,134.046820385742,82.85179830511436,9.073357879775863e-36
112,581.744711621094,82.11298881544414,1.8290529958703334e-35
113,116.928236706543,81.2280622827192,4.237229073142036e-35
114,208.845617993164,80.97366683212128,5.39518544309089e-35
115,156.703406079102,80.81978403706621,6.244286004196351e-35
116,581.245810253906,79.22963305599608,2.829910180282252e-34
117,181.067511303711,78.36600523035351,6.4340177857585054e-34
118,279.053427441406,77.7970983303422,1.1055185391213157e-33
119,116.218344433594,76.62204684895048,3.383640552344241e-33
120,334.132315380859,76.34542318938458,4.403563861223892e-33
121,279.101340039063,75.45009372815582,1.0334161298804878e-32
122,255.102270825195,74.78421336587493,1.949567365708317e-32
123,473.211996777344,74.56738333182213,2.3973244873773466e-32
124,545.976279003906,73.57457163583156,6.180187868264895e-32
125,256.101034863281,72.87153176528297,1.2089037448799799e-31
126,163.050940258789,72.13339267679439,2.4460587352055953e-31
127,160.853552563477,70.56361237232696,1.0961182309384602e-30
128,546.239462597656,69.78807490223855,2.3009510188546025e-30
129,743.532431347656,69.54609239409173,2.9001806809338265e-30
130,253.903052075195,69.1431822843241,4.264072231269526e-30
131,641.293234570313,69.02756594361499,4.762863722825991e-30
132,655.285422070313,68.82119546727863,5.802734041307501e-30
133,264.308005078125,68.5348819402861,7.632005005226848e-30
134,155.296347363281,68.42396346449097,8.48686988675961e-30
135,335.132712109375,68.25216188485165,1.0003959111787278e-29
136,240.786856396484,67.89665386059069,1.4060290848639637e-29
137,122.537794812012,67.7783120313481,1.5747399587491834e-29
138,180.830557568359,67.57612039373069,1.9111828815135205e-29
139,133.497198803711,67.48036196495846,2.0947528372011185e-29
140,445.185843212891,67.08262421033551,3.066172675840143e-29
141,447.193381054688,66.90734856614064,3.6268242967841943e-29
142,277.109915478516,66.84362739303056,3.855156807594001e-29
143,161.038046582031,66.72306302530329,4.3272695817963446e-29
144,122.633047802734,66.1484553441914,7.50558258649733e-29
145,155.426565869141,65.68629794996745,1.1689927863437526e-28
146,157.044607861328,65.63548781046084,1.227357078665118e-28
147,452.55434296875,65.49380380888508,1.4059718005392985e-28
148,451.487417919922,65.40969248625392,1.5240810545052707e-28
149,390.517142041016,64.97406898154493,2.3145686815230517e-28
150,318.804312451172,64.49114644281997,3.6786860107424938e-28
151,149.035589916992,64.06613369890958,5.531413082708225e-28
152,743.873129589844,63.55316647569151,9.05110001366803e-28
153,155.212134106445,62.96165850850047,1.5973390534255362e-27
154,262.098166210938,61.7047292460173,5.344648758702175e-27
155,142.043036206055,61.51556706009424,6.410519240304294e-27
156,613.731344921875,60.81661874650289,1.2553972709936118e-26
157,487.211233837891,59.690333328674406,3.710216643610574e-26
158,372.4913546875,59.527448837082204,4.339983648847144e-26
159,157.121649487305,59.3138856192809,5.330551662811155e-26
160,112.041205151367,59.153311735184545,6.221726895548512e-26
161,165.102667553711,58.97037901928901,7.420046320227601e-26
162,229.579992993164,58.82560117890201,8.530089255941913e-26
163,717.299643261719,58.658753667525616,1.0016985427341325e-25
164,371.89858125,58.399908750559206,1.2853240731856872e-25
165,430.17983125,58.220601338012045,1.5276638619193192e-25
166,178.059332592773,57.394213608616944,3.387391014694691e-25
167,154.880560620117,57.36399260584291,3.4875144926265887e-25
168,208.280630810547,57.32397149743978,3.624678262073607e-25
169,167.755636914063,56.786293996745975,6.086818496513113e-25
170,150.2257296875,56.63775694648081,7.024169136471147e-25
171,156.826513989258,56.57137124033951,7.48855399924515e-25
172,111.711897595215,56.35435341831003,9.231990272865986e-25
173,273.470206005859,56.312637629719056,9.611016348765452e-25
174,614.279440625,56.05749000002951,1.229294582847354e-24
175,572.484213574219,55.99648414437647,1.3038124862274895e-24
176,114.300810559082,55.93794522478717,1.3795634312970804e-24
177,227.421942456055,55.841512960271686,1.5140725105173025e-24
178,154.974905712891,55.70059569211808,1.7345836685420453e-24
179,447.405600292969,55.538009559986634,2.0292252344979076e-24
180,191.077582104492,55.154027816883676,2.9394987394473247e-24
181,122.279448254395,54.961859741515134,3.538618087625811e-24
