rank,feature,score,p_value
1,290.113425,590.6158570132945,1.175489159732996e-217
2,193.067511303711,542.344764035728,2.360006665271612e-202
3,134.445532543945,439.66454211157037,1.396270283216183e-168
4,289.395193798828,423.01692341848974,6.106015294260985e-163
5,113.088675244141,420.40925438442815,4.717125147198389e-162
6,112.855726940918,409.6013041665051,2.325480537477076e-158
7,192.990668041992,407.47682012705644,1.2439980934561046e-157
8,113.023337109375,406.66420928681373,2.363778249366324e-157
9,113.363295300293,387.8326730275507,7.365622635225303e-151
10,143.030997021484,379.10725762829225,7.8994066222133e-148
11,142.766562207031,375.3445416883314,1.616891215445527e-146
12,192.52146027832,374.2863931968422,3.783117677794877e-146
13,272.0899875,348.4840783486733,4.4039484782643085e-137
14,270.797476513672,329.18116660918446,3.2206227018517377e-130
15,271.553030712891,318.9490825676641,1.4976183743653648e-126
16,143.106940014648,318.48243064333144,2.203664024153122e-126
17,193.885184033203,308.17698198928434,1.1439402740447497e-122
18,193.993582470703,289.2525994290773,8.618776478612048e-116
19,194.093435986328,283.9167507852522,7.716058363670712e-114
20,255.537558300781,278.69668759968226,6.346732701228702e-112
21,112.575201733398,272.42770962881434,1.287800523981268e-109
22,288.399496777344,262.2522645498881,7.448211823100463e-106
23,142.624640209961,253.69956319364735,1.1241449011835915e-102
24,133.279562695313,245.64188417695001,1.1470323067322019e-99
25,112.677366955566,240.8783716347969,6.99367393426535e-98
26,271.114432080078,236.546952134385,2.9653691271258627e-96
27,193.677038891602,235.47301386188505,7.51950028283037e-96
28,288.121298535156,234.4469097627611,1.830329769024104e-95
29,283.260611279297,230.40510353733356,6.116523969398527e-94
30,192.067007763672,226.6308834219705,1.63209919033548e-92
31,113.594580395508,222.05976141608903,8.795014808859238e-91
32,134.16779206543,221.7078052525491,1.1960264475323452e-90
33,123.262167675781,220.44027739525265,3.6204485768309348e-90
34,133.807409985352,215.3366251128764,3.1557790516202244e-88
35,289.10951875,211.97967640107123,6.004408248944714e-87
36,282.68520234375,210.26297209769646,2.7144031957370787e-86
37,255.233145458984,207.03725539502838,4.6404836796118977e-85
38,291.440664990234,205.4161292853238,1.9365641854570053e-84
39,291.112051708984,204.62913232325366,3.8766397770637066e-84
40,166.873373730469,202.28930428970907,3.0579370403391148e-83
41,185.060965283203,194.4634476303582,3.1209937508125872e-80
42,191.576224072266,189.75809144866764,2.0416060020357699e-78
43,560.249228222656,187.47243785779594,1.5622148893918675e-77
44,283.533011181641,169.47207687025306,1.5671299784164027e-70
45,184.070334179688,165.2002390355385,7.37133456463987e-69
46,127.880064709473,161.6770546802646,1.7785209307667215e-67
47,123.057577832031,153.55307575571453,2.811530553110259e-64
48,241.098440869141,152.04706032228893,1.1057157132484082e-63
49,185.39826081543,148.368082775443,3.1524760575017053e-62
50,137.305823071289,147.31829364938375,8.211456053148879e-62
51,136.797476513672,146.0800796931609,2.5418416611603755e-61
52,167.058645947266,143.58738611822127,2.4782856105320165e-60
53,136.900503857422,142.94664136986196,4.4525780612919266e-60
54,137.178641064453,142.90110401047144,4.6419406949053507e-60
55,290.60903046875,140.09091754881402,6.0798981577165e-59
56,137.041937573242,136.96895886730454,1.0647408757379532e-57
57,141.367636425781,133.88956118346047,1.802698805645038e-56
58,319.122580273438,130.56035502302134,3.8622037253880276e-55
59,287.103506787109,127.65534035572361,5.627937284042022e-54
60,283.122732861328,127.37345765420042,7.300575845216598e-54
61,140.674414379883,124.8849657741116,7.2750716394831615e-53
62,127.72955201416,123.43471029583979,2.782458666362426e-52
63,287.544455273438,123.09174878976295,3.821876565454662e-52
64,742.304159863281,121.61963992724843,1.4937993719821344e-51
65,122.814573986816,121.4812066730351,1.6982084283254938e-51
66,270.420126660156,120.8671706775131,2.9998882686483006e-51
67,128.151221020508,120.08765787193467,6.179401334767622e-51
68,150.456778271484,118.91487492324661,1.8340126595746633e-50
69,270.103598339844,118.5459063237493,2.5829195434783517e-50
70,266.801321728516,116.68608087045689,1.4527767925997678e-49
71,264.101553662109,113.89642400820637,1.9448541231142553e-48
72,143.560614331055,112.81357054462904,5.330222900969101e-48
73,417.629965527344,111.57223167767123,1.6945064603509025e-47
74,166.489920361328,111.17045229729456,2.464344189539299e-47
75,241.620306713867,109.28385494633329,1.4322284806964497e-46
76,238.083349926758,108.36969899816992,3.3626178830705305e-46
77,184.893805249023,107.61658970041037,6.795134173570514e-46
78,267.320151074219,107.43619366781223,8.042697573042802e-46
79,359.133078320313,107.37920097634678,8.482634011290371e-46
80,166.307608349609,107.27889035407664,9.316249749861292e-46
81,152.051352246094,107.06101911706278,1.1420136362237458e-45
82,390.156973583984,104.8059547677237,9.411404133455187e-45
83,269.787253125,104.65502313303655,1.083942699140394e-44
84,141.019613964844,104.56806610235162,1.1758607298040359e-44
85,276.111777050781,104.25775252296204,1.5722410634509944e-44
86,242.681708081055,101.77127828786944,1.6154843041405646e-43
87,388.160910351563,99.61626234680254,1.2202763216733704e-42
88,267.115927441406,99.51248792615799,1.3451629340312746e-42
89,128.0353,98.63462970580694,3.0679770684759934e-42
90,284.281943066406,98.3830796080562,3.885926843630353e-42
91,117.20970032959,98.08918819665408,5.1219361031577274e-42
92,284.116171582031,96.80095602199842,1.719601708829745e-41
93,191.363653881836,96.40841136657149,2.487649530076369e-41
94,116.024107678223,94.86161264950493,1.0667438209300278e-40
95,560.593527539063,94.20575128779977,1.9784828077803403e-40
96,254.10871003418,92.71437322937179,8.067994950527178e-40
97,559.628805859375,92.56455387033506,9.292207627409476e-40
98,452.188376171875,92.41651103979228,1.0684402468523985e-39
99,243.119040234375,91.49829974943688,2.540561125262534e-39
100,151.834204418945,91.11903577361066,3.6338866294377875e-39
